,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD300E,22.7652050275936,4.03239008823506,0.367886192245769,8.24273960847447,1.68311605900948e-16,6.24627321081041e-14
CCL8,2.88268839516672,4.00454254078341,0.714667108663267,4.20411476107133,2.62105935771548e-05,0.00116302386554718
IFIT1,465.022146166894,3.95171342801894,0.266947852200681,11.0572660678309,2.02165970749234e-28,5.50194689394041e-25
FAM110D,5.95277239223279,3.9502185859228,0.891483637286443,3.30933565410452,0.000935176504442791,0.0241240081217162
OASL,62.8416159759122,3.83869442114834,0.337651185730062,8.4071803716921,4.19984943001773e-17,1.80471950901999e-14
MS4A4A,4.75702762514741,3.76296165803284,0.504227265388186,5.47959590385446,4.26298330568631e-08,3.70267310630594e-06
TIAM2,45.3642211697182,3.75671323552439,0.386469071983786,7.13307593120943,9.81503744549719e-13,2.05474033907082e-10
SLC30A3,6.479967707085,3.72463909382482,0.595625824954055,4.57441396876133,4.77554784893566e-06,0.000255628351338144
PCSK5,1179.10517869582,3.70491081605908,0.289077171997834,9.35705437190089,8.19905949145566e-21,6.69412212179897e-18
ACOD1,4.74143572218415,3.66446714333068,0.783123959947961,3.40235681654758,0.0006680735167928,0.018031359430925
IFI44L,370.425122431451,3.6494273276764,0.250148264203263,10.5914279921749,3.26571485000797e-26,6.66573222322253e-23
MUC19,2.97572016411529,3.61778252171508,0.632776300398747,4.13697940340919,3.51907683467723e-05,0.00150426716317917
GREB1,13.9278001952298,3.60508815529062,0.486577792206862,5.35389858931971,8.60791152503046e-08,7.02792936461112e-06
RSAD2,283.995838373059,3.59546606830905,0.29471905446339,8.80657707400272,1.29025392768538e-18,7.02285212839152e-16
CCL2,7.90749936962294,3.52193888008636,0.531451775920905,4.74537671026936,2.08118646173804e-06,0.000124940050491619
ADGRE1,7.66368603615985,3.46487057086097,0.516905609350786,4.76851194158399,1.8559167377676e-06,0.000112241720040767
LHFPL6,6.12800653735841,3.46303495472606,0.607223312566749,4.05622594480891,4.9872017262243e-05,0.00200581322629351
IFIT3,451.254159050109,3.45238866373495,0.260449255491416,9.41599414099987,4.68626426119933e-21,4.02747416426967e-18
SUCNR1,3.82033738445535,3.42133353094897,0.518646237659326,4.66856472704123,3.03311221696575e-06,0.000172570346309525
CD274,34.3542412174957,3.38005213850172,0.354509536674117,6.71364770841013,1.89818278212898e-11,3.19540480921486e-09
DDX60L,279.003256557147,3.34628465387148,0.304969754097025,7.69349951052856,1.43164255101679e-14,3.71068114532591e-12
INHBA,4.33107454406388,3.32450308671105,0.54956530914388,4.22971218895202,2.33990481892763e-05,0.0010642982113724
TNFAIP6,10.946950734627,3.30185092657578,0.597112172880082,3.85497236720722,0.000115742701627309,0.00406433669193112
SDS,13.1290185013327,3.29460589267798,0.415684560909036,5.52006523326254,3.38873837516221e-08,3.0073211373926e-06
CLEC12A,9.79309234135595,3.28031281771226,0.552476240630462,4.12744051239211,3.66823283220978e-05,0.0015477667678851
GABRE,59.9570604126917,3.27381772011346,0.423841832945542,5.36477889478553,8.10484391726398e-08,6.71796935659917e-06
HLX,4.11369901489438,3.25507877374743,0.573389953032644,3.93288853740876,8.39311623711246e-05,0.00305236514556368
PMP22,2.72249887640383,3.25190461405868,0.699184476497193,3.22075888375036,0.00127851662600062,0.0312996971303809
CMKLR1,13.6698127140355,3.25124361079297,0.434397436133648,5.18245142243507,2.18988412169833e-07,1.61074855059514e-05
PRLR,2.5814527766635,3.25006851197722,0.603428615783537,3.72880644557362,0.000192388849120974,0.00633214604549243
OAS3,487.870890148328,3.24345555592966,0.250312833377962,8.96260701320949,3.17091018606235e-19,1.84920687243615e-16
PDCD1LG2,6.32441958430294,3.22706228454562,0.479966454823942,4.64003736544993,3.48346186940106e-06,0.000196142927122241
AC139495.2,41.4398596156127,3.22475129089416,0.494882179382321,4.49551708180511,6.94010862062034e-06,0.000354140730206592
CASP5,5.53461263907158,3.22362875555905,0.610044556061352,3.64502679921534,0.000267363939290816,0.00846082512534832
SMTNL1,2.49406406162346,3.20246658062268,0.675467576515553,3.26065477781221,0.00111155282790104,0.0278382609306689
CCR1,42.5914475468709,3.17463928048833,0.356774130775993,6.09528296168344,1.09244038764351e-09,1.30207730582707e-07
MMP13,5.67973081205914,3.16322615839357,0.528327259898478,4.09448143714797,4.23114309389809e-05,0.00172887334375887
AC005515.1,5.33000056656769,3.12811104557291,0.574828749534812,3.70216529235031,0.000213767270643802,0.00691209061850028
SIGLEC14,9.18939642413581,3.1268715338959,0.549806184219572,3.8684023478472,0.000109550792722254,0.00388037938039411
HERC5,61.0486119294933,3.12528311035429,0.3232219024567,6.57530660577372,4.85530132232873e-11,7.62328993195248e-09
